,Attrition,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,WorkLifeBalance,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes
Department_Research & Development,-0.08529292757679584,0.027976126603615585,0.0231871112563848,-0.10782968451627004,-0.002797635762332911,-0.06992156669565805,-0.0050126965890644175,0.0033403757431236317,0.00046492516847619966,-0.2907542212647013,1.0,-0.9068182538582065,-0.18795397683797765,0.12732137626755863,-0.4785199172723251,0.18354845743526912,0.06475066923212706,0.03854052559405695,-0.01576041154912646,0.01576041154912646,0.035158317271647616,-0.019997232449237033,-0.009990011759466991,0.003035972021499721,-0.003035972021499721
Department_Sales,0.08085520213605311,-0.02560604486171326,-0.026106586649909082,0.11430683928872742,0.013498641398040013,0.051320466573557946,0.007282728370351026,-0.00015959312378895473,-0.004718436602848603,-0.13964991543354832,-0.9068182538582065,1.0,-0.09027472363652507,-0.10179100512104283,0.5276910949204874,-0.16803385014653346,-0.06369529678023804,-0.0313088433761383,0.03201716224252595,-0.03201716224252595,-0.04345086637719112,0.005378410556396023,0.033002067540700564,-0.005863804092725062,0.005863804092725062
EducationField_Human Resources,0.0364661968371011,-0.00689781181940863,0.0020785499005737027,0.01040873114761317,-0.021466810062666746,-0.003967424076644031,0.020835476975192998,0.011818262277522173,-0.02407271657847364,0.6464359348608716,-0.18795397683797765,-0.09027472363652507,1.0,-0.1145587212904405,-0.04763716775940112,-0.09289850316646296,-0.033247646601548025,-0.04296428862498637,-0.028955919651941338,0.028955919651941338,0.012107045562021272,0.05733903758552742,-0.07205110390785437,-0.004039725950420598,0.004039725950420598
EducationField_Life Sciences,-0.03270314772289781,-0.02452566004836524,0.0032275329669909114,-0.008431405279722795,0.052004178148208235,-0.03972802491517825,0.005310926999550573,0.03112786978458656,-0.0303546648624382,-0.06803998521835512,0.12732137626755863,-0.10179100512104283,-0.1145587212904405,1.0,-0.29165985608263334,-0.5687736139282787,-0.2035596211737428,-0.26305002640681185,-0.006770370530853086,0.006770370530853086,-0.002671943692177372,-0.017866042926371714,0.02146878641998996,0.013787274276141367,-0.013787274276141367
EducationField_Marketing,0.05578066572176351,0.00047861335761561303,-0.018657341249112426,0.09269847318985193,-0.023528239439586752,0.018500492448028608,-0.030567442014826918,-0.016585503213132895,0.0346681989403422,-0.07369201678068112,-0.4785199172723251,0.5276910949204874,-0.04763716775940112,-0.29165985608263334,1.0,-0.23651419777224186,-0.0846465787472335,-0.10938458544144002,0.02414283303653326,-0.02414283303653326,-0.007211853157550973,0.018491095674649342,-0.013322545679615085,-0.014607038904294526,0.014607038904294526
EducationField_Medical,-0.046998715878070516,-0.021298678881480862,0.01710252960395336,-0.014114341567807399,-0.02264546040812414,0.0016410738540389048,0.012828445434219871,-0.005367258587554791,-0.00393028399629826,-0.049761221082057626,0.18354845743526912,-0.16803385014653346,-0.09289850316646296,-0.5687736139282787,-0.23651419777224186,1.0,-0.16507153623188262,-0.21331377860910944,0.013145862183869757,-0.013145862183869757,0.013316068248326849,-0.007138661296736239,-0.0042486031503845955,-0.0022457879981175235,0.0022457879981175235
EducationField_Other,-0.0178975168319389,0.06460159604189165,-0.01189465995598723,-0.016724486305691153,0.0033799931611425385,0.031812267192507404,-0.013389421180597185,-0.011003545648424472,0.01840610926247433,-0.007526668918569349,0.06475066923212706,-0.06369529678023804,-0.033247646601548025,-0.2035596211737428,-0.0846465787472335,-0.16507153623188262,1.0,-0.07634333045956984,-0.022991977008755583,0.022991977008755583,0.005410850613828139,-0.009171102629661419,0.00497218469176276,-0.024969501954123667,0.024969501954123667
EducationField_Technical Degree,0.06935459476481899,0.027713408643038125,-0.004519417183491357,-0.05470660299296511,-0.019794968473403746,0.021962120536248207,0.0041710652640445265,-0.023569063914641433,0.017521207709292264,-0.019469057967572093,0.03854052559405695,-0.0313088433761383,-0.04296428862498637,-0.26305002640681185,-0.10938458544144002,-0.21331377860910944,-0.07634333045956984,1.0,-0.0038857006841996975,0.0038857006841996975,-0.019242719456383308,0.0027096570999069567,0.014265200186807327,0.0177231565989013,-0.0177231565989013
Gender_Female,-0.029453253175140102,-0.0005083138899310968,-0.017959755383916618,0.03940310267613316,-0.03325169742246471,0.0027526788208192482,-0.050460839234959226,0.02201536865533314,0.014681807474915607,-0.03565171280177076,-0.01576041154912646,0.03201716224252595,-0.028955919651941338,-0.006770370530853086,0.02414283303653326,0.013145862183869757,-0.022991977008755583,-0.0038857006841996975,1.0,-1.0,-0.0460761808281552,0.007803972272476331,0.032752023379647055,-0.04192434795198738,0.04192434795198738
Gender_Male,0.029453253175140102,0.0005083138899310968,0.017959755383916618,-0.03940310267613316,0.03325169742246471,-0.0027526788208192482,0.050460839234959226,-0.02201536865533314,-0.014681807474915607,0.03565171280177076,0.01576041154912646,-0.03201716224252595,0.028955919651941338,0.006770370530853086,-0.02414283303653326,-0.013145862183869757,0.022991977008755583,0.0038857006841996975,-1.0,1.0,0.0460761808281552,-0.007803972272476331,-0.032752023379647055,0.04192434795198738,-0.04192434795198738
MaritalStatus_Divorced,-0.08771634588934236,0.016438601288104593,0.016814706148536498,0.037087184526406004,-0.015196968833291032,-0.009079977129619226,0.057455206694947226,0.00577900174374556,-0.0432874703692517,0.016036876326510664,0.035158317271647616,-0.04345086637719112,0.012107045562021272,-0.002671943692177372,-0.007211853157550973,0.013316068248326849,0.005410850613828139,-0.019242719456383308,-0.0460761808281552,0.0460761808281552,1.0,-0.491506349421548,-0.3666905265441556,-0.02346217139007529,0.02346217139007529
MaritalStatus_Married,-0.09098365120728194,-0.022180172946198142,0.028324424347787307,0.050547074798450366,-0.01031493915673341,-0.006387994554426891,-0.043634530606356074,-0.03078518100655018,0.05561252910229526,0.03476742131071565,-0.019997232449237033,0.005378410556396023,0.05733903758552742,-0.017866042926371714,0.018491095674649342,-0.007138661296736239,-0.009171102629661419,0.0027096570999069567,0.007803972272476331,-0.007803972272476331,-0.491506349421548,1.0,-0.6299807808105914,0.013502214628886485,-0.013502214628886485
MaritalStatus_Single,0.17541855360922304,0.009035491017375438,-0.04525328672176698,-0.08707163390043593,0.024571362098382586,0.014921370508689639,-0.004622081388685333,0.027733911579581678,-0.020808076108798798,-0.05144261613014738,-0.009990011759466991,0.033002067540700564,-0.07205110390785437,0.02146878641998996,-0.013322545679615085,-0.0042486031503845955,0.00497218469176276,0.014265200186807327,0.032752023379647055,-0.032752023379647055,-0.3666905265441556,-0.6299807808105914,1.0,0.0064983951524356645,-0.0064983951524356645
OverTime_No,-0.24611799424579708,-0.07013172677409438,0.0035067105694045505,-0.0005440477748809303,-0.024539481060031572,0.027091878472392382,0.03716332413896921,-0.029391745642947387,0.0005385845544997139,0.006178214666502534,0.003035972021499721,-0.005863804092725062,-0.004039725950420598,0.013787274276141367,-0.014607038904294526,-0.0022457879981175235,-0.024969501954123667,0.0177231565989013,-0.04192434795198738,0.04192434795198738,-0.02346217139007529,0.013502214628886485,0.0064983951524356645,1.0,-1.0
OverTime_Yes,0.24611799424579708,0.07013172677409438,-0.0035067105694045505,0.0005440477748809303,0.024539481060031572,-0.027091878472392382,-0.03716332413896921,0.029391745642947387,-0.0005385845544997139,-0.006178214666502534,-0.003035972021499721,0.005863804092725062,0.004039725950420598,-0.013787274276141367,0.014607038904294526,0.0022457879981175235,0.024969501954123667,-0.0177231565989013,0.04192434795198738,-0.04192434795198738,0.02346217139007529,-0.013502214628886485,-0.0064983951524356645,-1.0,1.0
